,precision,recall,f1-score,support
CWE-119,0.0,0.0,0.0,691.0
CWE-120,0.05555555555555555,0.02631578947368421,0.03571428571428571,38.0
CWE-121,0.0,0.0,0.0,1.0
CWE-122,0.0,0.0,0.0,24.0
CWE-125,0.275,0.04114713216957606,0.07158351409978309,802.0
CWE-129,0.0,0.0,0.0,9.0
CWE-134,0.0,0.0,0.0,11.0
CWE-16,0.0,0.0,0.0,1.0
CWE-189,0.0,0.0,0.0,4.0
CWE-190,0.15384615384615385,0.02,0.035398230088495575,300.0
CWE-191,0.0,0.0,0.0,9.0
CWE-193,0.0,0.0,0.0,2.0
CWE-20,0.0,0.0,0.0,643.0
CWE-200,0.0,0.0,0.0,365.0
CWE-203,0.0,0.0,0.0,3.0
CWE-22,0.0,0.0,0.0,5.0
CWE-241,0.0,0.0,0.0,1.0
CWE-252,0.0,0.0,0.0,6.0
CWE-254,0.0,0.0,0.0,1.0
CWE-264,0.0,0.0,0.0,27.0
CWE-269,0.0,0.0,0.0,28.0
CWE-273,0.0,0.0,0.0,4.0
CWE-284,0.0,0.0,0.0,42.0
CWE-295,0.0,0.0,0.0,2.0
CWE-310,0.0,0.0,0.0,3.0
CWE-319,0.0,0.0,0.0,1.0
CWE-326,0.0,0.0,0.0,1.0
CWE-330,0.0,0.0,0.0,4.0
CWE-345,0.0,0.0,0.0,10.0
CWE-346,0.0,0.0,0.0,3.0
CWE-362,0.0,0.0,0.0,56.0
CWE-369,0.0,0.0,0.0,31.0
CWE-399,0.0,0.0,0.0,38.0
CWE-400,0.0,0.0,0.0,289.0
CWE-401,0.0,0.0,0.0,101.0
CWE-415,0.0,0.0,0.0,39.0
CWE-416,0.0,0.0,0.0,662.0
CWE-436,0.0,0.0,0.0,1.0
CWE-475,0.0,0.0,0.0,2.0
CWE-476,0.05970149253731343,0.008316008316008316,0.014598540145985401,481.0
CWE-502,0.0,0.0,0.0,1.0
CWE-522,0.0,0.0,0.0,3.0
CWE-552,0.0,0.0,0.0,1.0
CWE-59,0.0,0.0,0.0,1.0
CWE-61,0.0,0.0,0.0,2.0
CWE-611,0.0,0.0,0.0,7.0
CWE-617,0.0,0.0,0.0,15.0
CWE-667,0.0,0.0,0.0,1.0
CWE-668,0.0,0.0,0.0,6.0
CWE-670,0.0,0.0,0.0,2.0
CWE-674,0.0,0.0,0.0,21.0
CWE-680,0.0,0.0,0.0,2.0
CWE-681,0.0,0.0,0.0,6.0
CWE-682,0.0,0.0,0.0,1.0
CWE-703,0.0,0.0,0.0,251.0
CWE-704,0.0,0.0,0.0,1.0
CWE-706,0.0,0.0,0.0,4.0
CWE-732,0.0,0.0,0.0,9.0
CWE-754,0.0,0.0,0.0,7.0
CWE-755,0.0,0.0,0.0,2.0
CWE-77,0.0,0.0,0.0,1.0
CWE-772,0.0,0.0,0.0,3.0
CWE-776,0.0,0.0,0.0,6.0
CWE-78,0.0,0.0,0.0,2.0
CWE-786,0.0,0.0,0.0,1.0
CWE-787,0.29411764705882354,0.004659832246039142,0.009174311926605505,1073.0
CWE-788,0.0,0.0,0.0,6.0
CWE-79,0.0,0.0,0.0,1.0
CWE-824,0.0,0.0,0.0,4.0
CWE-835,0.0,0.0,0.0,17.0
CWE-843,0.0,0.0,0.0,1.0
CWE-862,0.0,0.0,0.0,6.0
CWE-88,0.0,0.0,0.0,1.0
CWE-90,0.0,0.0,0.0,2.0
CWE-908,0.0,0.0,0.0,15.0
CWE-909,0.0,0.0,0.0,4.0
CWE-918,0.0,0.0,0.0,1.0
CWE-94,0.0,0.0,0.0,2.0
micro avg,0.15170278637770898,0.007865168539325843,0.0149549824507859,6230.0
macro avg,0.010746421140998032,0.0012876764385295863,0.0021342164355789136,6230.0
weighted avg,0.09841406267568584,0.007865168539325843,0.013844707014315288,6230.0
samples avg,0.007966804979253112,0.006804979253112033,0.007192254495159059,6230.0
